type,platform,message,count,hours_left
WARNING,Shopee,⚠️ Đơn 619506 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619507 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619503 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619504 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619505 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619502 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619489 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619487 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619501 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619482 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619490 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619488 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619483 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619485 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619496 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619304 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619305 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619310 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619312 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619308 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619311 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
WARNING,Shopee,⚠️ Đơn 619309 sắp hết hạn bàn giao (1.4h),,1.4313410661111112
